title,url
DeSantis wins Florida governor race as Pennsylvania too close to call,/news/live/world-us-canada-63157389
Republicans eyeing House victory as wins stack up,/news/world-us-canada-63551469
Trump warns DeSantis against presidential bid,/news/world-us-canada-63563862
Norway princess gives up royal duties,/news/world-europe-63562191
Pique and Lewandowski sent off in Barcelona victory,/sport/football/63564102
Why do US midterms matter? All your questions answered,/news/live/world-us-canada-63547472
Watch: The story of election day so far,/news/world-us-canada-63563189
Winner announced in historic $2bn US Powerball draw,/news/world-us-canada-63545192
Awarding Qatar the World Cup a mistake - Blatter,/sport/football/63554507
Mane in World Cup injury scare as Bayern thump Bremen,/sport/football/63563277
England will trust Pakistan security advice - Stokes,/sport/cricket/63553211
Why Kentucky might deliver a shock abortion vote,https://www.bbc.com/news/world-us-canada-63537475
"'Angry, petrified...' US voters share their fears",https://www.bbc.com/news/world-us-canada-63548188
How might midterms impact around the world?,https://www.bbc.com/sounds/play/p0dcqc2l
The exes trapped in shared homes,https://www.bbc.com/worklife/article/20221103-the-exes-forced-to-live-together-after-breaking-up
The woman whose naked body was a canvas,https://www.bbc.com/culture/article/20221108-carolee-schneemann-the-artist-whose-naked-body-was-a-canvas
The island that takes 11 days to reach,https://www.bbc.com/travel/article/20221108-the-north-pole-one-of-earths-last-un-owned-lands
How a cold home harms your health,https://www.bbc.com/future/article/20221107-energy-crisis-how-living-in-a-cold-home-affects-your-health
Actor Leslie Phillips dies aged 98,https://www.bbc.com/news/entertainment-arts-63557414
Putin allies who criticise Russia's war machine,https://www.bbc.com/news/world-europe-63468600
BBC presenter got sepsis after doing awareness interview,https://www.bbc.com/news/uk-scotland-63546160
Why an old train could point to a clean energy future,https://www.bbc.com/news/business-62619313
'There really is more to life than posting on Instagram',https://www.bbc.com/news/business-63482162
Egyptian MP confronts sister of jailed activist,/news/world-middle-east-63561235
Egyptian MP confronts sister of jailed...,/news/world-middle-east-63561235
Actor Sean Penn gives his Oscar to Zelensky,/news/world-europe-63561236
Trump hints at run for presidency as he votes,/news/world-us-canada-63562025
How climate change can fuel the spread of...,/news/science-environment-63556927
In the name of atheism: The case of Mubarak...,/news/world-africa-63496455
Boris Johnson at COP27 in 'purely supportive...,/news/science-environment-63541982
Barbados PM's plea to rich nations at COP27,/news/science-environment-63557041
William talks football and mental health with...,/news/uk-63541633
Fireworks thrown at emergency service workers,/news/uk-63535473
Rescuers search site of crashed plane in...,/news/world-africa-63534266
COP27: What is the climate impact of private jets?,/news/63544995
Warnings over growing 3D printed gun threat,/news/technology-63495123
The Crown's cast defend show after 'big fuss',/news/entertainment-arts-63559862
US flu hospital cases rocket as vaccinations fall,/news/world-us-canada-63522871
Hancock compares jungle survival to politics,/news/entertainment-arts-63562657
Stolen $3bn Bitcoin mystery ends with popcorn tin,/news/technology-63547765
'One of the hottest start-up spaces in the US',/news/business-63459642
The 'superpower' behind great art,https://www.bbc.com/culture/article/20221102-synaesthesia-the-superpower-behind-great-art
Elon Musk: Superhero or supervillain?,https://www.bbcselect.com/watch/elon-musk/
Your pictures on the theme of 'sculpture',/news/in-pictures-63486977
"Northern Lights, Tutankhamun and cakes: Photos of the week",/news/in-pictures-63514358
Crocodile close-up wins mangrove photo awards,/news/in-pictures-63472199
In pictures: Lula beats Bolsonaro,/news/world-latin-america-63451896
Africa's top shots: Red rings and seas of green,/news/world-africa-63411863
